ID,Category,Sub Category,State Standard
K.RL.1,Reading Literature,Key Ideas and Details,"With prompting and support, ask and answer questions about key details in a text."
K.RL.2,Reading Literature,Key Ideas and Details,"With prompting and support, retell familiar stories, including key details."
K.RL.3,Reading Literature,Key Ideas and Details,"With prompting and support, identify characters, settings, and major events in a story."
K.RL.4,Reading Literature,Craft and Structure,Ask and answer questions about unknown words in a text.
K.RL.5,Reading Literature,Craft and Structure,"Recognize common types of texts (e.g., storybooks, poems)."
K.RL.6,Reading Literature,Craft and Structure,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story."
K.RL.7,Reading Literature,Integration of Knowledge and Ideas,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts)."
K.RL.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature)
K.RL.9,Reading Literature,Integration of Knowledge and Ideas,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories."
K.RL.10,Reading Literature,Range of Reading and Level of Text Complexity,Actively engage in group reading activities with purpose and understanding.
1.RL.1,Reading Literature,Key Ideas and Details,Ask and answer questions about key details in a text.
1.RL.2,Reading Literature,Key Ideas and Details,"Retell stories, including key details, and demonstrate understanding of their central message or lesson."
1.RL.3,Reading Literature,Key Ideas and Details,"Describe characters, settings, and major events in a story, using key details."
1.RL.4,Reading Literature,Craft and Structure,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.
1.RL.5,Reading Literature,Craft and Structure,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types."
1.RL.6,Reading Literature,Craft and Structure,Identify who is telling the story at various points in a text.
1.RL.7,Reading Literature,Integration of Knowledge and Ideas,"Use illustrations and details in a story to describe its characters, setting, or events."
1.RL.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature)
1.RL.9,Reading Literature,Integration of Knowledge and Ideas,Compare and contrast the adventures and experiences of characters in stories.
1.RL.10,Reading Literature,Range of Reading and Level of Text Complexity,"With prompting and support, read prose and poetry of appropriate complexity for grade 1."
2.RL.1,Reading Literature,Key Ideas and Details,"Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text."
2.RL.2,Reading Literature,Key Ideas and Details,"Recount stories, including fables and folktales from diverse cultures, and determine their central message, lesson, or moral."
2.RL.3,Reading Literature,Key Ideas and Details,Describe how characters in a story respond to major events and challenges.
2.RL.4,Reading Literature,Craft and Structure,"Describe how words and phrases (e.g., regular beats, alliteration, rhymes, repeated lines) supply rhythm and meaning in a story, poem, or song."
2.RL.5,Reading Literature,Craft and Structure,"Describe the overall structure of a story, including describing how the beginning introduces the story and the ending concludes the action."
2.RL.6,Reading Literature,Craft and Structure,"Acknowledge differences in the points of view of characters, including by speaking in a different voice for each character when reading dialogue aloud."
