Grade 6;Computer Technology;Individually Paced;Introduction to Web Design;M or V
Grade 7;Computer Technology;Individually Paced;Introduction to Web Design;M or V
Grade 8;Computer Technology;Individually Paced;Introduction to Web Design;M or V
Grade 9;Computer Technology;Individually Paced;Introduction to Web Design;M or V
Grade 10;Computer Technology;Individually Paced;Introduction to Web Design;M or V
Grade 11;Computer Technology;Individually Paced;Introduction to Web Design;M or V
Grade 12;Computer Technology;Individually Paced;Introduction to Web Design;M or V
Grade 6;Computer Technology;Individually Paced;Scratch Programming;M 
Grade 6;Computer Technology;Individually Paced;Advanced Web Design New!;M or V
Grade 7;Computer Technology;Individually Paced;Advanced Web Design New!;M or V
Grade 8;Computer Technology;Individually Paced;Advanced Web Design New!;M or V
Grade 9;Computer Technology;Individually Paced;Advanced Web Design New!;M or V
Grade 10;Computer Technology;Individually Paced;Advanced Web Design New!;M or V
Grade 11;Computer Technology;Individually Paced;Advanced Web Design New!;M or V
Grade 12;Computer Technology;Individually Paced;Advanced Web Design New!;M or V
Grade 6;Computer Technology;Individually Paced;JavaScript;M or V
Grade 7;Computer Technology;Individually Paced;JavaScript;M or V
Grade 8;Computer Technology;Individually Paced;JavaScript;M or V
Grade 9;Computer Technology;Individually Paced;JavaScript;M or V
Grade 10;Computer Technology;Individually Paced;JavaScript;M or V
Grade 11;Computer Technology;Individually Paced;JavaScript;M or V
Grade 12;Computer Technology;Individually Paced;JavaScript;M or V
Grade 3;Engineering;Session-Based;Inventions in Engineering;M or V
Grade 4;Engineering;Session-Based;Inventions in Engineering;M or V
Grade 5;Engineering;Session-Based;Inventions in Engineering;M or V
Grade 2;Foreign Languages;Session-Based;Arabic for Elementary Students, Basic, Part I;M or V
Grade 3;Foreign Languages;Session-Based;Arabic for Elementary Students, Basic, Part I;M or V
Grade 4;Foreign Languages;Session-Based;Arabic for Elementary Students, Basic, Part I;M or V
Grade 5;Foreign Languages;Session-Based;Arabic for Elementary Students, Basic, Part I;M or V
Grade 6;Foreign Languages;Session-Based;Arabic for Elementary Students, Basic, Part I;M or V
Grade 2;Foreign Languages;Session-Based;Chinese for Elementary Students, Basic, Part I;M or V
Grade 3;Foreign Languages;Session-Based;Chinese for Elementary Students, Basic, Part I;M or V
Grade 4;Foreign Languages;Session-Based;Chinese for Elementary Students, Basic, Part I;M or V
Grade 5;Foreign Languages;Session-Based;Chinese for Elementary Students, Basic, Part I;M or V
Grade 6;Foreign Languages;Session-Based;Chinese for Elementary Students, Basic, Part I;M or V
Grade 2;Foreign Languages;Session-Based;Chinese for Elementary Students, Basic, Part II;M or V
Grade 3;Foreign Languages;Session-Based;Chinese for Elementary Students, Basic, Part II;M or V
Grade 4;Foreign Languages;Session-Based;Chinese for Elementary Students, Basic, Part II;M or V
Grade 5;Foreign Languages;Session-Based;Chinese for Elementary Students, Basic, Part II;M or V
Grade 6;Foreign Languages;Session-Based;Chinese for Elementary Students, Basic, Part II;M or V
Grade 2;Foreign Languages;Session-Based;Chinese for Elementary Students, Intermediate, Part I;M or V
Grade 3;Foreign Languages;Session-Based;Chinese for Elementary Students, Intermediate, Part I;M or V
Grade 4;Foreign Languages;Session-Based;Chinese for Elementary Students, Intermediate, Part I;M or V
Grade 5;Foreign Languages;Session-Based;Chinese for Elementary Students, Intermediate, Part I;M or V
Grade 6;Foreign Languages;Session-Based;Chinese for Elementary Students, Intermediate, Part I;M or V
