MongoDB shell version: 2.0.2
connecting to: localhost:27017/ingestion_batch_job
1,A1-job-key,22Aug2012-14-0-MediumSampleDataSet.zip,22Aug2012-14-5-MediumSampleDataSet.zip,22Aug2012-14-9-MediumSampleDataSet.zip,22Aug2012-14-14-MediumSampleDataSet.zip
1,A1-job-size,2,3,5,15
1,Avg-a2-job-totalErrors,1,1,6799,1
1,Avg-a2-job-totalRecords,38676,38676,38662,38676
1,Avg-a2-resource-errors-InterchangeAssessmentMetadata-xml,0,0,4298,0
1,Avg-a2-resource-errors-InterchangeEducationOrgCalendar-xml,0,0,10,0
0,Avg-a2-resource-errors-InterchangeEducationOrganization-xml,0,0,0,0
1,Avg-a2-resource-errors-InterchangeMasterSchedule-xml,0,0,90,0
1,Avg-a2-resource-errors-InterchangeStaffAssociation-xml,0,0,165,0
1,Avg-a2-resource-errors-InterchangeStudentAssessment-xml,0,0,4298,0
1,Avg-a2-resource-errors-InterchangeStudentAttendance-xml,0,0,4298,0
1,Avg-a2-resource-errors-InterchangeStudentCohort-xml,0,0,1273,0
1,Avg-a2-resource-errors-InterchangeStudentDiscipline-xml,0,0,4198,0
1,Avg-a2-resource-errors-InterchangeStudentEnrollment-xml,0,0,765,0
1,Avg-a2-resource-errors-InterchangeStudentGrade-xml,1,1,6799,1
1,Avg-a2-resource-errors-InterchangeStudentParent-xml,0,0,165,0
1,Avg-a2-resource-errors-InterchangeStudentProgram-xml,0,0,965,0
1,Avg-a2-resource-records-InterchangeAssessmentMetadata-xml,23674,23674,23660,23674
1,Avg-a2-resource-records-InterchangeEducationOrgCalendar-xml,140,140,126,140
1,Avg-a2-resource-records-InterchangeEducationOrganization-xml,70,70,56,70
1,Avg-a2-resource-records-InterchangeMasterSchedule-xml,540,540,526,540
1,Avg-a2-resource-records-InterchangeStaffAssociation-xml,973,973,959,973
1,Avg-a2-resource-records-InterchangeStudentAssessment-xml,26174,26174,26160,26174
1,Avg-a2-resource-records-InterchangeStudentAttendance-xml,23669,23669,23655,23669
1,Avg-a2-resource-records-InterchangeStudentCohort-xml,8544,8544,8530,8544
1,Avg-a2-resource-records-InterchangeStudentDiscipline-xml,23169,23169,23155,23169
1,Avg-a2-resource-records-InterchangeStudentEnrollment-xml,6004,6004,5990,6004
1,Avg-a2-resource-records-InterchangeStudentGrade-xml,38676,38676,38662,38676
1,Avg-a2-resource-records-InterchangeStudentParent-xml,2999,2999,2985,2999
1,Avg-a2-resource-records-InterchangeStudentProgram-xml,7004,7004,6990,7004
1,Avg-b1-stage-ControlFilePreProcessor-time,140,5,19,31
1,Avg-b1-stage-ControlFileProcessor-time,310,362,454,574
1,Avg-b1-stage-EdFiProcessor-time,34917,52596,76544,98725
1,Avg-b1-stage-JobReportingProcessor-time,106,104,3938,626
1,Avg-b1-stage-PersistenceProcessor-time,106377,109120,107911,144575
1,Avg-b1-stage-TransformationProcessor-time,4612,4996,4616,5702
